time,frame_id,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
1695706668.4300287,map,2.6708346473469917,0.0,0.0,0.0,0.0,-0.010407425463282823
1695706668.4495494,map,2.6863705212785858,0.0,0.0,0.0,0.0,-0.010408392163242521
1695706668.4691532,map,2.686822937181986,0.0,0.0,0.0,0.0,-0.010408392163242521
1695706668.4900146,map,2.710853912248767,0.0,0.0,0.0,0.0,-0.008885663986861279
1695706668.509405,map,2.726041855894787,0.0,0.0,0.0,0.0,-0.00888485114847234
1695706668.529537,map,2.7548751679634957,0.0,0.0,0.0,0.0,-0.009788520363323814
1695706668.549083,map,2.776327768430833,0.0,0.0,0.0,0.0,-0.00978947805977819
1695706668.5696583,map,2.8014233817549115,0.0,0.0,0.0,0.0,-0.008699790786752752
1695706668.5900962,map,2.817448009678935,0.0,0.0,0.0,0.0,-0.008698626558130114
1695706668.6095443,map,2.8417199352909095,0.0,0.0,0.0,0.0,-0.0060043903056639135
1695706668.6302981,map,2.8758728024840536,0.0,0.0,0.0,0.0,-0.004689115128440106
1695706668.649738,map,2.888898197135732,0.0,0.0,0.0,0.0,-0.004688416893739097
1695706668.669601,map,2.9054065483457316,0.0,0.0,0.0,0.0,-0.004033936775178469
1695706668.6896355,map,2.916514186810068,0.0,0.0,0.0,0.0,-0.0040332399046058365
1695706668.7094798,map,2.934991601492878,0.0,0.0,0.0,0.0,-0.004869788020727727
1695706668.7300303,map,2.9660667152469613,0.0,0.0,0.0,0.0,-0.006036379622086336
1695706668.7493472,map,2.979038003278822,0.0,0.0,0.0,0.0,-0.006036998861832262
1695706668.7693632,map,2.99779712396578,0.0,0.0,0.0,0.0,-0.0065980310384668815
1695706668.7892604,map,3.0104574282386265,0.0,0.0,0.0,0.0,-0.006598625915029883
1695706668.8092375,map,3.0316653941032548,0.0,0.0,0.0,0.0,-0.0055841658358474966
1695706668.8299892,map,3.0607513479773125,0.0,0.0,0.0,0.0,-0.008960155890736631
1695706668.849293,map,3.070276590744474,0.0,0.0,0.0,0.0,-0.008961947960455071
1695706668.8693216,map,3.089122471251019,0.0,0.0,0.0,0.0,-0.007966407891866362
1695706668.8892713,map,3.1019024752969893,0.0,0.0,0.0,0.0,-0.007965351275116979
1695706668.9092402,map,3.1239471051307364,0.0,0.0,0.0,0.0,-0.00786244556357067
1695706668.9299774,map,3.159870907230844,0.0,0.0,0.0,0.0,-0.007064968521458113
1695706668.9495158,map,3.1726963084616067,0.0,0.0,0.0,0.0,-0.007064545284770242
1695706668.9692745,map,3.1876570085451488,0.0,0.0,0.0,0.0,-0.00910398082691108
1695706668.9892664,map,3.19784072049398,0.0,0.0,0.0,0.0,-0.009106144415356869
1695706669.0094953,map,3.2148707291251712,0.0,0.0,0.0,0.0,-0.007157602530787038
1695706669.0298293,map,3.248321477488245,0.0,0.0,0.0,0.0,-0.007094153799002794
1695706669.0493057,map,3.2623006285173144,0.0,0.0,0.0,0.0,-0.007094120664359154
1695706669.0693085,map,3.278645759150807,0.0,0.0,0.0,0.0,-0.004938981059740068
1695706669.0892773,map,3.289731201923655,0.0,0.0,0.0,0.0,-0.004936695794358938
1695706669.1095467,map,3.3082095729544356,0.0,0.0,0.0,0.0,-0.006364322978646834
1695706669.129527,map,3.3411683701110424,0.0,0.0,0.0,0.0,-0.004256797336978094
1695706669.149579,map,3.352499688421258,0.0,0.0,0.0,0.0,-0.004255677536724545
1695706669.169256,map,3.3722286400793813,0.0,0.0,0.0,0.0,-0.0054732502267279765
1695706669.1893618,map,3.3847549862814716,0.0,0.0,0.0,0.0,-0.00547389624947385
1695706669.209341,map,3.401879430286351,0.0,0.0,0.0,0.0,-0.003865033376569401
1695706669.2298534,map,3.4345492873749075,0.0,0.0,0.0,0.0,-0.004180202047909776
1695706669.2492418,map,3.44906268297656,0.0,0.0,0.0,0.0,-0.004180370567491398
1695706669.2694447,map,3.4699931676716576,0.0,0.0,0.0,0.0,-0.004438538867344828
1695706669.2893066,map,3.483231082742839,0.0,0.0,0.0,0.0,-0.00443867583205343
1695706669.3093572,map,3.500703479833622,0.0,0.0,0.0,0.0,-0.00546082606826489
1695706669.3294733,map,3.5116880517156197,0.0,0.0,0.0,0.0,-0.005461368868309461
1695706669.3493338,map,3.531434985393076,0.0,0.0,0.0,0.0,-0.004664288442762755
1695706669.3693452,map,3.5446086670205696,0.0,0.0,0.0,0.0,-0.0046634435285256085
1695706669.3895423,map,3.562615897982362,0.0,0.0,0.0,0.0,-0.005807901017947386
1695706669.409598,map,3.5924806288369924,0.0,0.0,0.0,0.0,-0.005808821571478314
1695706669.429306,map,3.6046053519448,0.0,0.0,0.0,0.0,-0.005808821737779671
1695706669.449237,map,3.6247642239848634,0.0,0.0,0.0,0.0,-0.006741738376361737
1695706669.4693966,map,3.6385510855059118,0.0,0.0,0.0,0.0,-0.006742727060716333
1695706669.4891703,map,3.63726968439546,0.0,0.0,0.0,0.0,-0.006742727060716333
1695706669.5097678,map,3.6635308238909197,0.0,0.0,0.0,0.0,-0.006124510900633401
1695706669.5302403,map,3.6794417510580124,0.0,0.0,0.0,0.0,-0.00612429220876949
1695706669.549529,map,3.708354108096067,0.0,0.0,0.0,0.0,-0.005403545547974793
1695706669.5697842,map,3.7246165335183976,0.0,0.0,0.0,0.0,-0.005403417876931019
1695706669.589665,map,3.744141596577939,0.0,0.0,0.0,0.0,-0.00311273755562314
1695706669.609532,map,3.7849767023209164,0.0,0.0,0.0,0.0,-0.0036904867330734737
1695706669.629639,map,3.803158681589233,0.0,0.0,0.0,0.0,-0.003690795149031161
1695706669.6491528,map,3.805505368279838,0.0,0.0,0.0,0.0,-0.0036907951490311496
1695706669.6693196,map,3.8312699726797437,0.0,0.0,0.0,0.0,-0.00313699591247526
1695706669.6893337,map,3.8474071419451716,0.0,0.0,0.0,0.0,-0.0031367019934004274
1695706669.7092888,map,3.868765669723192,0.0,0.0,0.0,0.0,-0.0049826560595920884
1695706669.729346,map,3.8821302834682947,0.0,0.0,0.0,0.0,-0.0049836353185183585
1695706669.7492378,map,3.9054030202057053,0.0,0.0,0.0,0.0,-0.0015747040578427394
1695706669.7697577,map,3.939276461028402,0.0,0.0,0.0,0.0,-0.002246499411436351
1695706669.78925,map,3.952486225565662,0.0,0.0,0.0,0.0,-0.002246857060417563
1695706669.8094702,map,3.9701426772967254,0.0,0.0,0.0,0.0,-0.0028272227886948025
1695706669.8300104,map,4.0010629947824174,0.0,0.0,0.0,0.0,-0.004349460662755464
1695706669.8496504,map,4.013846329818693,0.0,0.0,0.0,0.0,-0.0043502697648539965
1695706669.8694243,map,4.030398819790279,0.0,0.0,0.0,0.0,-0.006699747700187717
1695706669.8896272,map,4.04087418989119,0.0,0.0,0.0,0.0,-0.0067009933917270715
1695706669.9099433,map,4.058275723853669,0.0,0.0,0.0,0.0,-0.007607352766322702
1695706669.9301183,map,4.070046670764458,0.0,0.0,0.0,0.0,-0.007608313838459953
1695706669.949585,map,4.089125591456969,0.0,0.0,0.0,0.0,-0.006244696471712472
1695706669.969613,map,4.124082185632327,0.0,0.0,0.0,0.0,-0.005415965414888774
1695706669.9892936,map,4.138676282488309,0.0,0.0,0.0,0.0,-0.005415514904945089
1695706670.0093324,map,4.154063160102479,0.0,0.0,0.0,0.0,-0.005197409472551858
1695706670.029403,map,4.164509101741466,0.0,0.0,0.0,0.0,-0.005197178036559083
1695706670.0492723,map,4.184471257040154,0.0,0.0,0.0,0.0,-0.0053902045507092
1695706670.0693533,map,4.197392179453092,0.0,0.0,0.0,0.0,-0.005390307002154336
1695706670.0892441,map,4.218911790821837,0.0,0.0,0.0,0.0,-0.004372523280028911
1695706670.1096454,map,4.25356887081426,0.0,0.0,0.0,0.0,-0.0021578412950758914
1695706670.1295884,map,4.2668092209361115,0.0,0.0,0.0,0.0,-0.0021566656056784877
1695706670.1496444,map,4.285114137102431,0.0,0.0,0.0,0.0,-0.003634608417260021
1695706670.1703165,map,4.315880337614364,0.0,0.0,0.0,0.0,-0.003375220997531952
1695706670.1901398,map,4.3279254219927115,0.0,0.0,0.0,0.0,-0.0033750828573788534
1695706670.2099485,map,4.344065184427179,0.0,0.0,0.0,0.0,-0.004656750393192561
1695706670.2294178,map,4.355079409801282,0.0,0.0,0.0,0.0,-0.0046581160221806205
1695706670.2492323,map,4.375592377832426,0.0,0.0,0.0,0.0,-0.006478699044921444
1695706670.2693024,map,4.3880131803272,0.0,0.0,0.0,0.0,-0.006479344333529697
1695706670.2892892,map,4.407063012733816,0.0,0.0,0.0,0.0,-0.008512629065787872
1695706670.3095162,map,4.419713902950174,0.0,0.0,0.0,0.0,-0.008514782599637427
1695706670.3292115,map,4.436792079317979,0.0,0.0,0.0,0.0,-0.00807495714039816
1695706670.3492362,map,4.466762705746963,0.0,0.0,0.0,0.0,-0.008370874576712917
1695706670.3693643,map,4.479070187731242,0.0,0.0,0.0,0.0,-0.008371031860556126
1695706670.3896296,map,4.49501918400474,0.0,0.0,0.0,0.0,-0.00913428367601552
1695706670.4092865,map,4.505790532710788,0.0,0.0,0.0,0.0,-0.00913508945167345
1695706670.4292996,map,4.527611859000686,0.0,0.0,0.0,0.0,-0.01113414766981777
1695706670.4495735,map,4.540224215861366,0.0,0.0,0.0,0.0,-0.011134855681161442
1695706670.4694169,map,4.555391938224949,0.0,0.0,0.0,0.0,-0.008186038715896345
1695706670.4901333,map,4.582608453916485,0.0,0.0,0.0,0.0,-0.009778009057515772
1695706670.5099294,map,4.593413696612534,0.0,0.0,0.0,0.0,-0.009778855123298277
1695706670.5332968,map,4.61020156982128,0.0,0.0,0.0,0.0,-0.009215457891601966
1695706670.5492954,map,4.622111022268207,0.0,0.0,0.0,0.0,-0.00921486114941365
1695706670.570005,map,4.649176659601654,0.0,0.0,0.0,0.0,-0.008543054634924005
1695706670.5902264,map,4.666621744443991,0.0,0.0,0.0,0.0,-0.00854270878356517
1695706670.609494,map,4.689856778161688,0.0,0.0,0.0,0.0,-0.009484717716459621
1695706670.6293037,map,4.704581291500668,0.0,0.0,0.0,0.0,-0.009485217923635741
1695706670.6495776,map,4.722298218003302,0.0,0.0,0.0,0.0,-0.009511563756523555
1695706670.6691654,map,4.755265505645734,0.0,0.0,0.0,0.0,-0.0114682365516153
1695706670.689621,map,4.76914626086027,0.0,0.0,0.0,0.0,-0.011469275470571317
1695706670.7099142,map,4.784289268618525,0.0,0.0,0.0,0.0,-0.014490411797974313
1695706670.7294536,map,4.794491870756151,0.0,0.0,0.0,0.0,-0.014493611911916377
1695706670.7496235,map,4.8131874385928155,0.0,0.0,0.0,0.0,-0.01566238835103135
